ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,timestamp_utc
1677142469.425752,CNE8cw4U8alfyh9z1c,192.168.1.106,61909,176.223.208.23,443,tcp,-,2.999771,0,0,S0,-,-,0,S,4,208,0,0,-,2023-02-23 08:54:29.425751925+00:00
1677142477.554769,CpykDl1fDErStpBfda,192.168.1.106,61910,176.223.208.23,443,tcp,-,3.002640,0,0,S0,-,-,0,S,4,208,0,0,-,2023-02-23 08:54:37.554769039+00:00
1677142485.704062,CqlSzl6XfpN5vBvR1,192.168.1.106,61911,176.223.208.23,443,tcp,-,3.018312,0,0,S0,-,-,0,S,4,208,0,0,-,2023-02-23 08:54:45.704061985+00:00
1677142493.848108,CJABGe10PZmIsZ1nu9,192.168.1.106,61912,176.223.208.23,443,tcp,ssl,10.539047,498,4996,SF,-,-,0,ShADTadtFf,20,1844,16,10656,-,2023-02-23 08:54:53.848108053+00:00
1677142505.370581,CKXeje4wyBlAtiPrOi,192.168.1.106,61915,176.223.208.23,443,tcp,-,3.003972,0,0,S0,-,-,0,S,4,208,0,0,-,2023-02-23 08:55:05.370580912+00:00
1677142514.268718,CaOUwe1KhAD7UA3FL3,192.168.1.106,62617,176.223.208.23,443,tcp,-,3.003364,0,0,S0,-,-,0,S,4,208,0,0,-,2023-02-23 08:55:14.268718004+00:00
1677142522.425811,CNNZdD4gGMIDCYHwld,192.168.1.106,62619,176.223.208.23,443,tcp,ssl,3.161911,263,137,SF,-,-,0,ShADTadtFf,16,1214,8,618,-,2023-02-23 08:55:22.425811052+00:00
1677142526.577456,CiM6XK8s6HurseQrk,192.168.1.106,62620,176.223.208.23,443,tcp,ssl,3.151580,263,137,SF,-,-,0,ShADTadtFf,16,1214,8,618,-,2023-02-23 08:55:26.577455997+00:00
1677142530.710463,CsJF711PPuALpBXzbk,192.168.1.106,62621,176.223.208.23,443,tcp,ssl,0.117224,263,137,SF,-,-,0,ShADTadtFf,14,1110,8,618,-,2023-02-23 08:55:30.710463047+00:00
1677142531.821287,CnQUIt1nYbLDN86GHf,192.168.1.106,62622,176.223.208.23,443,tcp,ssl,0.116973,263,137,SF,-,-,0,ShADTadtFf,14,1110,8,618,-,2023-02-23 08:55:31.821286917+00:00
1677142532.921074,C9r9881XTSIHRVM3O4,192.168.1.106,62623,176.223.208.23,443,tcp,ssl,0.116165,263,137,SF,-,-,0,ShADTadtFf,14,1110,8,618,-,2023-02-23 08:55:32.921073914+00:00
1677142534.022784,CT1ZSIzEPXst4PQ02,192.168.1.106,62624,176.223.208.23,443,tcp,ssl,0.116254,263,137,SF,-,-,0,ShADTadtFf,14,1110,8,618,-,2023-02-23 08:55:34.022783995+00:00
1677142535.119898,CzJY6dyJITbGNzrKg,192.168.1.106,62626,176.223.208.23,443,tcp,ssl,0.125101,263,137,SF,-,-,0,ShADTadtFf,14,1110,8,618,-,2023-02-23 08:55:35.119898081+00:00
1677142536.227795,CIUALmAcb4ynVmB7e,192.168.1.106,62627,176.223.208.23,443,tcp,ssl,0.115785,263,137,SF,-,-,0,ShADTadtFf,14,1110,8,618,-,2023-02-23 08:55:36.227794886+00:00
1677142537.328312,CRQXZh3Jcfr6KFLI63,192.168.1.106,62628,176.223.208.23,443,tcp,ssl,0.116991,263,137,SF,-,-,0,ShADTadtFf,14,1110,8,618,-,2023-02-23 08:55:37.328311920+00:00
1677142538.429776,C5Od2ZKjErdbKX6wh,192.168.1.106,62629,176.223.208.23,443,tcp,ssl,0.117229,263,137,SF,-,-,0,ShADTadtFf,14,1110,8,618,-,2023-02-23 08:55:38.429775953+00:00
1677142539.532518,CQLubj3dgkzuVpYL9,192.168.1.106,62630,176.223.208.23,443,tcp,ssl,0.115731,263,137,SF,-,-,0,ShADTadtFf,14,1110,8,618,-,2023-02-23 08:55:39.532517910+00:00
1677142540.637196,C5uqqB3GnVBrBzXFl9,192.168.1.106,62631,176.223.208.23,443,tcp,-,2.999853,0,0,S0,-,-,0,S,4,208,0,0,-,2023-02-23 08:55:40.637196064+00:00
1677142546.895366,COEAhy2YLyKbU9ti55,192.168.1.106,62632,176.223.208.23,443,tcp,ssl,132.741906,458,171362,SF,-,-,0,ShADTadtttfFR,240,10988,250,352748,-,2023-02-23 08:55:46.895365953+00:00
