flow_row_id,id.orig_p,id.resp_p,duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,proto,service,conn_state,history,label
0,62794,5355,0.099038,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
1,68,67,0.000884,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
2,50781,1900,15.156597,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
3,1900,50781,23.078433,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
4,50720,5355,0.101543,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
5,68,67,0.000894,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
6,50781,1900,15.1346,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
7,1900,50781,19.771686,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
8,65473,5355,0.105095,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
9,68,67,0.000709,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
10,50781,1900,15.184175,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
11,1900,50781,18.720577,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
12,50151,5355,0.098431,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
13,68,67,0.000906,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
14,50781,1900,15.127068,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
15,1900,50781,18.131797,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
16,64001,5355,0.098467,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
17,68,67,0.00091,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
18,50781,1900,15.137509,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
19,1900,50781,19.210795,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
20,58623,5355,0.099091,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
