flow_row_id,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,source_file,capture_date,label,detailedlabel
0,1676851459.334216,CdLjCs1V7jEAHsrPh7,192.168.1.106,62794,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
1,1676851459.319097,CAZqqXUb4YgjSeSc2,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
2,1676851459.589446,C7vTNF36rU5LHMjaB3,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
3,1676851461.613372,CADrqn2u6oNqXX6rSe,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
4,1676851762.134895,CiYNs76i6hxgR0KP8,192.168.1.106,50720,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
5,1676851762.119080,CpXHppu723F75Sew3,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
6,1676851762.386656,C8KJl81kDDmmGFBYP7,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
7,1676851763.606732,CApe2u4XJ1MJHOGQh6,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
8,1676852064.667673,Cw6mjE3Jh55yB0Daii,192.168.1.106,65473,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
9,1676852064.651977,CYxwEy8Znsei90CYl,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
10,1676852064.924706,CYkxVo4B2s4I9Hhku5,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
11,1676852065.998926,CPoauV21is5Qcnnym5,192.168.1.132,1900,192.168.1.106,50781,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign
12,1676852367.367017,CDrUcE1LJJZ1N3mQd7,192.168.1.106,50151,224.0.0.252,5355,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
13,1676852367.348343,CAD3Bv11DhSRATS1Oh,192.168.1.106,68,192.168.1.1,67,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-DHCP
14,1676852367.615778,C2zEur1VoHd7ckIu9h,192.168.1.106,50781,239.255.255.250,1900,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Multicast
