feature,type,missing_percentage,unique_non_null,dominant_value_ratio,overall_mean,overall_median,overall_std,overall_min,overall_q25,overall_q50,overall_q75,overall_max,benign_mean,benign_median,benign_std,benign_min,benign_q25,benign_q50,benign_q75,benign_max,malicious_mean,malicious_median,malicious_std,malicious_min,malicious_q25,malicious_q50,malicious_q75,malicious_max,mean_gap,standardized_mean_gap,relevance_evidence,recommendation
id.orig_p,numerical,0.0,23528,0.08938,41911.700525,52059.0,23123.144689,3.0,35684.0,52059.0,58090.0,65535.0,39861.401074,51049.5,23877.041879,3.0,1900.0,51049.5,57461.75,65535.0,56860.039984,56470.5,4716.66117,49157.0,52784.0,56470.5,60878.25,65531.0,16998.638909,0.987726,effect_size=0.988; dominant_value_ratio=0.089; retain fixed VM3 baseline feature set for comparability,KEEP
id.resp_p,numerical,0.0,4224,0.198076,19597.322669,1900.0,26458.695304,1.0,443.0,1900.0,52999.0,65534.0,21933.81959,1900.0,27401.103629,1.0,139.0,1900.0,54078.0,65534.0,2562.372424,2567.0,99.419321,139.0,2567.0,2567.0,2567.0,2567.0,19371.447166,0.999784,effect_size=1.000; dominant_value_ratio=0.198; retain fixed VM3 baseline feature set for comparability,KEEP
duration,numerical,11.624,48278,0.11624,30.020871,0.119933,743.867936,1e-06,0.000671,0.119933,8.123834,62053.64632,32.208831,0.100498,788.913433,1e-06,0.000338,0.100498,6.32129,62053.64632,12.506665,18.933553,17.656565,1e-06,3.009009,18.933553,18.96163,1383.298999,19.702166,0.035309,effect_size=0.035; dominant_value_ratio=0.116; retain fixed VM3 baseline feature set for comparability,KEEP
orig_bytes,numerical,11.624,8116,0.153491,9308.171247,1042.0,220355.214322,0.0,506.0,1042.0,7700.0,30023388.0,10433.764484,2643.0,233678.671563,0.0,1040.0,2643.0,8646.0,30023388.0,298.008359,375.0,6507.379576,0.0,0.0,375.0,375.0,578236.0,10135.756126,0.061317,effect_size=0.061; dominant_value_ratio=0.153; retain fixed VM3 baseline feature set for comparability,KEEP
resp_bytes,numerical,11.624,7336,0.560581,130615.98415,0.0,1127682.517272,0.0,0.0,0.0,699.0,113523697.0,146917.81353,0.0,1195043.872453,0.0,0.0,0.0,1301.0,113523697.0,122.895517,0.0,9110.516159,0.0,0.0,0.0,0.0,791217.0,146794.918014,0.173712,effect_size=0.174; dominant_value_ratio=0.561; retain fixed VM3 baseline feature set for comparability,KEEP
missed_bytes,numerical,0.0,380,0.991523,1140.337684,0.0,90351.220351,0.0,0.0,0.0,0.0,16529294.0,1296.745272,0.0,96347.454938,0.0,0.0,0.0,0.0,16529294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1296.745272,0.019034,effect_size=0.019; dominant_value_ratio=0.992; retain fixed VM3 baseline feature set for comparability,KEEP
orig_pkts,numerical,0.0,1717,0.291558,73.694285,11.0,620.091084,0.0,2.0,11.0,34.0,49346.0,82.220339,11.0,660.725985,0.0,2.0,11.0,44.0,49346.0,11.532461,4.0,25.842386,1.0,2.0,4.0,20.0,2404.0,70.687878,0.151184,effect_size=0.151; dominant_value_ratio=0.292; retain fixed VM3 baseline feature set for comparability,KEEP
orig_ip_bytes,numerical,0.0,8565,0.19692,10987.874984,1556.0,210135.815167,0.0,1096.0,1556.0,8932.0,29935687.0,12138.2013,1603.0,224043.549926,0.0,1096.0,1603.0,8932.0,29935687.0,2601.066777,208.0,7246.569551,48.0,96.0,208.0,5050.0,674504.0,9537.134524,0.060169,effect_size=0.060; dominant_value_ratio=0.197; retain fixed VM3 baseline feature set for comparability,KEEP
resp_pkts,numerical,0.0,2071,0.60621,102.809108,0.0,868.900263,0.0,0.0,0.0,2.0,77967.0,116.738021,0.0,925.662699,0.0,0.0,0.0,6.0,77967.0,1.25608,0.0,24.526258,0.0,0.0,0.0,2.0,2402.0,115.481941,0.17637,effect_size=0.176; dominant_value_ratio=0.606; retain fixed VM3 baseline feature set for comparability,KEEP
resp_ip_bytes,numerical,0.0,7847,0.60621,119477.783976,0.0,1083285.665586,0.0,0.0,0.0,656.0,116389898.0,135840.514827,0.0,1154224.671684,0.0,0.0,0.0,1007.0,116389898.0,180.256389,0.0,9692.898978,0.0,0.0,0.0,104.0,887317.0,135660.258438,0.166212,effect_size=0.166; dominant_value_ratio=0.606; retain fixed VM3 baseline feature set for comparability,KEEP
