metric,value
evaluation_protocol,common_random_holdout_primary
random_state,42
benign_total_records,70750
malicious_total_records,9704
benign_fit_records_used_for_if_training,49525
benign_calibration_records,10612
benign_test_records,10613
malicious_test_records,9704
calibrated_threshold,0.01485322703701662
calibration_quantile,0.99
calibration_anomaly_rate,0.010082924990576706
test_accuracy,0.5165132647536546
test_precision,0.008264462809917356
test_recall,0.00010305028854080792
test_f1_score,0.0002035623409669211
test_false_positive_rate,0.011306887779138792
test_roc_auc,0.8497187143673988
test_average_precision,0.6972471492933714
test_balanced_accuracy,0.494398081254701
test_specificity,0.9886931122208612
true_negatives,10493
false_positives,120
false_negatives,9703
true_positives,1
predicted_anomalies,121
predicted_anomaly_rate,0.005955603681645912
benign_test_flagged_as_anomaly,120
malicious_test_detected,1
malicious_detection_rate,0.00010305028854080792
attack_redlinestealer_test_records,9683
attack_redlinestealer_detected_records,0
attack_redlinestealer_detection_rate,0.0
attack_redlinestealer_small_sample_note,
attack_agenttesla_test_records,19
attack_agenttesla_detected_records,0
attack_agenttesla_detection_rate,0.0
attack_agenttesla_small_sample_note,Very small-sample descriptive result only.
attack_lockbit_test_records,2
attack_lockbit_detected_records,1
attack_lockbit_detection_rate,0.5
attack_lockbit_small_sample_note,Very small-sample descriptive result only.
