evidence_id,timestamp_utc,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,conn_state,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,history
FLOW-13498,2023-02-21T11:41:28.165443Z,CtjJMy1oWH0AgUCH02,192.168.1.107,49506,66.63.168.35,5888,tcp,ssl,RSTR,12952.006634,87326.0,19668.0,904,1766,ShADTdtaTttTgGr
FLOW-11429,2023-02-21T11:47:08.477293Z,C33ZvP2FOs1944mz4,192.168.1.107,49516,66.63.168.35,5888,tcp,ssl,RSTR,54.096191,4334.0,651.0,118,118,ShADTdtaTr
FLOW-11430,2023-02-21T11:47:08.973337Z,CK7TDD2gKLQq3cnlw6,192.168.1.107,49517,66.63.168.35,5888,tcp,ssl,RSTR,53.608926,1015979.0,2453.0,1520,880,ShADTdtaTTtr
FLOW-11427,2023-02-21T11:47:26.185595Z,CHEEap1O6K5dp7E1R,192.168.1.107,49518,66.63.168.35,5888,tcp,ssl,SF,5.906233,24987.0,486734.0,494,726,ShADTadtttTFf
FLOW-11428,2023-02-21T11:47:50.247932Z,CAXoAP1Y488rB4kpXj,192.168.1.107,49521,66.63.168.35,5888,tcp,ssl,SF,1.894273,24987.0,486735.0,460,710,ShADTdtattgTFf
FLOW-11465,2023-02-21T11:54:40.420380Z,C1wPHj1QIxeOEgcKY3,192.168.1.107,49525,66.63.168.35,5888,tcp,ssl,RSTR,17.124354,1782.0,651.0,44,44,ShADTdtaTr
FLOW-11466,2023-02-21T11:54:40.640552Z,C0fQUp4AtpvNU98O4h,192.168.1.107,49526,66.63.168.35,5888,tcp,ssl,RSTR,16.917694,320367.0,1195.0,486,270,ShADTdtaTTtr
FLOW-11476,2023-02-21T11:54:44.573609Z,CYDmcv4fQZ2cZgr314,192.168.1.107,49527,66.63.168.35,5888,tcp,ssl,RSTR,77.165794,16223428.0,12469.0,23549,9945,ShADTadtTTtTtGGTr
FLOW-13499,2023-02-21T11:54:58.745805Z,CQTj5n24XmZ1AF1Gjf,192.168.1.107,49528,66.63.168.35,5888,tcp,ssl,RSTR,12141.736052,2249714.0,651.0,23141,23133,ShADTadtTTTGGTr
FLOW-13500,2023-02-21T11:54:58.968184Z,CfNi924BpewzKainPa,192.168.1.107,49529,66.63.168.35,5888,tcp,ssl,RSTR,12141.526261,229746863.0,395018.0,342115,196334,ShADTadtTTtGTtgGTtgGTwwwtr
