dataset,flow_row_id,case_label,true_label,selection_reasons,descriptive_only,metadata_ts,metadata_uid,metadata_id.orig_h,metadata_id.orig_p,metadata_id.resp_h,metadata_id.resp_p,metadata_source_file,metadata_capture_date,metadata_label,metadata_detailedlabel,feature_id.orig_p,feature_id.resp_p,feature_duration,feature_orig_bytes,feature_resp_bytes,feature_missed_bytes,feature_orig_pkts,feature_orig_ip_bytes,feature_resp_pkts,feature_resp_ip_bytes,feature_proto,feature_service,feature_conn_state,feature_history,vm3_dt_available,vm3_dt_unavailable_reason,vm3_dt_evaluation_protocol,vm3_dt_prediction_identity,vm3_dt_predicted_label,vm3_dt_predicted_probability,vm3_dt_anomaly_score,vm3_dt_threshold,vm3_if_available,vm3_if_unavailable_reason,vm3_if_evaluation_protocol,vm3_if_prediction_identity,vm3_if_predicted_label,vm3_if_predicted_probability,vm3_if_anomaly_score,vm3_if_threshold,vm2_dt_available,vm2_dt_unavailable_reason,vm2_dt_evaluation_protocol,vm2_dt_prediction_identity,vm2_dt_predicted_label,vm2_dt_predicted_probability,vm2_dt_anomaly_score,vm2_dt_threshold,vm2_if_available,vm2_if_unavailable_reason,vm2_if_evaluation_protocol,vm2_if_prediction_identity,vm2_if_predicted_label,vm2_if_predicted_probability,vm2_if_anomaly_score,vm2_if_threshold,vm2_external_if_available,vm2_external_if_unavailable_reason,vm2_external_if_evaluation_protocol,vm2_external_if_prediction_identity,vm2_external_if_predicted_label,vm2_external_if_predicted_probability,vm2_external_if_anomaly_score,vm2_external_if_threshold,vm3_dt_if_category,vm2_standalone_dt_if_category,vm2_dt_external_if_category
VM2,540,Benign,0,benign_false_positive:vm2_external_if,False,1676878251.020366,CcO0MH3JD6W5XB9x6k,192.168.1.106,56388,151.101.130.49,443,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Fastly,56388.0,443.0,873.87068,6190.0,3032734.0,273802.0,2253.0,123138.0,2896.0,3958734.0,tcp,ssl,SF,ShADTadttTtgWggtfF,False,different_dataset,stratified_80_20,,,,,,False,different_dataset,common_random_holdout_primary,,,,,,False,not_in_saved_evaluation_population,stratified_80_20,,,,,,False,not_in_saved_evaluation_population,common_random_holdout_primary,,,,,,True,,vm3_to_vm2_external_frozen_if,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""vm3_to_vm2_external_frozen_if"", ""experiment_id"": ""vm2_external_if"", ""flow_row_id"": 540}",1,,0.09802185590268397,0.04653248926340765,not_applicable_dataset,unavailable,unavailable
VM2,846,Benign,0,benign_false_positive:vm2_external_if,False,1676884629.484414,CER1M32ceX8U593XEk,192.168.1.106,64310,195.113.214.204,443,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Google,64310.0,443.0,71.637753,169056.0,7005794.0,0.0,3097.0,255772.0,6018.0,7174298.0,udp,missing,SF,Dd,False,different_dataset,stratified_80_20,,,,,,False,different_dataset,common_random_holdout_primary,,,,,,True,,stratified_80_20,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""stratified_80_20"", ""experiment_id"": ""vm2_dt"", ""flow_row_id"": 846}",0,0.0,,,False,not_in_saved_evaluation_population,common_random_holdout_primary,,,,,,True,,vm3_to_vm2_external_frozen_if,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""vm3_to_vm2_external_frozen_if"", ""experiment_id"": ""vm2_external_if"", ""flow_row_id"": 846}",1,,0.0999900771868556,0.04653248926340765,not_applicable_dataset,unavailable,not_applicable_benign
VM2,877,Benign,0,benign_false_positive:vm2_external_if,False,1676884701.127331,CX6gkV1AitThN9upo9,192.168.1.106,58690,195.113.214.204,443,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Google,58690.0,443.0,119.971779,259983.0,11066900.0,0.0,5050.0,401383.0,9549.0,11334272.0,udp,missing,SF,Dd,False,different_dataset,stratified_80_20,,,,,,False,different_dataset,common_random_holdout_primary,,,,,,True,,stratified_80_20,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""stratified_80_20"", ""experiment_id"": ""vm2_dt"", ""flow_row_id"": 877}",0,0.0,,,False,not_in_saved_evaluation_population,common_random_holdout_primary,,,,,,True,,vm3_to_vm2_external_frozen_if,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""vm3_to_vm2_external_frozen_if"", ""experiment_id"": ""vm2_external_if"", ""flow_row_id"": 877}",1,,0.1318670587683064,0.04653248926340765,not_applicable_dataset,unavailable,not_applicable_benign
VM2,1039,Benign,0,benign_false_positive:vm2_if,False,1676885903.091211,CnW0FV1H392yasNUCl,192.168.1.106,62073,2.23.8.223,443,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Pinterest,62073.0,443.0,162.210581,2600.0,6930974.0,1003067.0,4199.0,206624.0,5665.0,8223310.0,tcp,ssl,SF,ShADTadtgtTWtggWtfF,False,different_dataset,stratified_80_20,,,,,,False,different_dataset,common_random_holdout_primary,,,,,,False,not_in_saved_evaluation_population,stratified_80_20,,,,,,True,,common_random_holdout_primary,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""common_random_holdout_primary"", ""experiment_id"": ""vm2_if"", ""flow_row_id"": 1039}",1,,0.09022714945141941,0.01485322703701662,True,,vm3_to_vm2_external_frozen_if,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""vm3_to_vm2_external_frozen_if"", ""experiment_id"": ""vm2_external_if"", ""flow_row_id"": 1039}",1,,0.1151462954421919,0.04653248926340765,not_applicable_dataset,unavailable,unavailable
VM2,1743,Benign,0,benign_false_positive:vm2_if,False,1676890792.548783,CPGiTy2UxNAcKjov9g,192.168.1.106,55966,185.152.65.27,443,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Cdn77,55966.0,443.0,232.155248,21237.0,2428384.0,118205.0,2089.0,139816.0,3188.0,4195348.0,tcp,ssl,SF,ShADTadttTtgWgTGtfF,False,different_dataset,stratified_80_20,,,,,,False,different_dataset,common_random_holdout_primary,,,,,,False,not_in_saved_evaluation_population,stratified_80_20,,,,,,True,,common_random_holdout_primary,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""common_random_holdout_primary"", ""experiment_id"": ""vm2_if"", ""flow_row_id"": 1743}",1,,0.07204123534079765,0.01485322703701662,True,,vm3_to_vm2_external_frozen_if,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""vm3_to_vm2_external_frozen_if"", ""experiment_id"": ""vm2_external_if"", ""flow_row_id"": 1743}",1,,0.0935565808005906,0.04653248926340765,not_applicable_dataset,unavailable,unavailable
VM2,2437,Benign,0,benign_false_positive:vm2_if,False,1676894945.127221,CWtvGE2AW91C0FDpbj,192.168.1.106,52994,195.113.214.204,443,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-20\zeek\conn.log.labeled,2023-02-20,Benign,From_benign-To_benign-Google,52994.0,443.0,116.950146,49695.0,8219814.0,0.0,463.0,62659.0,6152.0,8392070.0,udp,missing,SF,Dd,False,different_dataset,stratified_80_20,,,,,,False,different_dataset,common_random_holdout_primary,,,,,,False,not_in_saved_evaluation_population,stratified_80_20,,,,,,True,,common_random_holdout_primary,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""common_random_holdout_primary"", ""experiment_id"": ""vm2_if"", ""flow_row_id"": 2437}",1,,0.019709702796742223,0.01485322703701662,True,,vm3_to_vm2_external_frozen_if,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""vm3_to_vm2_external_frozen_if"", ""experiment_id"": ""vm2_external_if"", ""flow_row_id"": 2437}",1,,0.0694538791633228,0.04653248926340765,not_applicable_dataset,unavailable,unavailable
VM2,5194,RedLineStealer,1,vm2_dt_external_if:DT_unavailable_IF_missed;vm2_standalone_dt_if:DT_unavailable_IF_missed,False,1676962205.443687,Cuzgqs8o8TuYnsMOj,192.168.1.106,49709,4.234.116.12,2567,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-21\zeek\conn.log.labeled,2023-02-21,Malicious,From_malicious-To_malicious-Malware_C2-Redline_stealer,49709.0,2567.0,21.372693,375.0,0.0,0.0,24.0,6710.0,2.0,104.0,tcp,http,RSTO,ShADTTR,False,different_dataset,stratified_80_20,,,,,,False,different_dataset,common_random_holdout_primary,,,,,,False,not_in_saved_evaluation_population,stratified_80_20,,,,,,True,,common_random_holdout_primary,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""common_random_holdout_primary"", ""experiment_id"": ""vm2_if"", ""flow_row_id"": 5194}",0,,-0.05233023880499993,0.01485322703701662,True,,vm3_to_vm2_external_frozen_if,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""vm3_to_vm2_external_frozen_if"", ""experiment_id"": ""vm2_external_if"", ""flow_row_id"": 5194}",0,,-0.018391347360299126,0.04653248926340765,not_applicable_dataset,unavailable,unavailable
VM2,5207,RedLineStealer,1,vm2_dt_external_if:DT_unavailable_IF_missed;vm2_standalone_dt_if:DT_unavailable_IF_missed,False,1676962232.146494,CUehkA2EiM1FbsfqWc,192.168.1.106,49728,4.234.116.12,2567,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-21\zeek\conn.log.labeled,2023-02-21,Malicious,From_malicious-To_malicious-Malware_C2-Redline_stealer,49728.0,2567.0,18.982455,375.0,0.0,0.0,20.0,5050.0,2.0,104.0,tcp,http,RSTO,ShADTTR,False,different_dataset,stratified_80_20,,,,,,False,different_dataset,common_random_holdout_primary,,,,,,False,not_in_saved_evaluation_population,stratified_80_20,,,,,,True,,common_random_holdout_primary,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""common_random_holdout_primary"", ""experiment_id"": ""vm2_if"", ""flow_row_id"": 5207}",0,,-0.05346836885302986,0.01485322703701662,True,,vm3_to_vm2_external_frozen_if,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""vm3_to_vm2_external_frozen_if"", ""experiment_id"": ""vm2_external_if"", ""flow_row_id"": 5207}",0,,-0.019543942225150657,0.04653248926340765,not_applicable_dataset,unavailable,unavailable
VM2,5324,RedLineStealer,1,vm2_dt_external_if:B;vm2_standalone_dt_if:B,False,1676962378.778498,CxdpoivOaMlo0o5p2,192.168.1.106,54165,4.234.116.12,2567,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-21\zeek\conn.log.labeled,2023-02-21,Malicious,From_malicious-To_malicious-Malware_C2-Redline_stealer,54165.0,2567.0,18.967685,375.0,0.0,0.0,20.0,5050.0,2.0,104.0,tcp,http,RSTO,ShADTTR,False,different_dataset,stratified_80_20,,,,,,False,different_dataset,common_random_holdout_primary,,,,,,True,,stratified_80_20,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""stratified_80_20"", ""experiment_id"": ""vm2_dt"", ""flow_row_id"": 5324}",1,1.0,,,True,,common_random_holdout_primary,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""common_random_holdout_primary"", ""experiment_id"": ""vm2_if"", ""flow_row_id"": 5324}",0,,-0.05469892840574281,0.01485322703701662,True,,vm3_to_vm2_external_frozen_if,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""vm3_to_vm2_external_frozen_if"", ""experiment_id"": ""vm2_external_if"", ""flow_row_id"": 5324}",0,,-0.019495521231792767,0.04653248926340765,not_applicable_dataset,B,B
VM2,5357,RedLineStealer,1,vm2_dt_external_if:B;vm2_standalone_dt_if:B,False,1676962426.716129,ClJ3K22ojoJhfMLrMd,192.168.1.106,54172,4.234.116.12,2567,D:\CTU\CTU-SME-11_Windows7full-2\CTU-SME-11\Experiment-VM-Microsoft-Windows7full-2\2023-02-21\zeek\conn.log.labeled,2023-02-21,Malicious,From_malicious-To_malicious-Malware_C2-Redline_stealer,54172.0,2567.0,18.967008,375.0,0.0,0.0,20.0,5050.0,2.0,104.0,tcp,http,RSTO,ShADTTR,False,different_dataset,stratified_80_20,,,,,,False,different_dataset,common_random_holdout_primary,,,,,,True,,stratified_80_20,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""stratified_80_20"", ""experiment_id"": ""vm2_dt"", ""flow_row_id"": 5357}",1,1.0,,,True,,common_random_holdout_primary,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""common_random_holdout_primary"", ""experiment_id"": ""vm2_if"", ""flow_row_id"": 5357}",0,,-0.05469892840574281,0.01485322703701662,True,,vm3_to_vm2_external_frozen_if,"{""dataset"": ""VM2"", ""evaluation_protocol"": ""vm3_to_vm2_external_frozen_if"", ""experiment_id"": ""vm2_external_if"", ""flow_row_id"": 5357}",0,,-0.019495521231792767,0.04653248926340765,not_applicable_dataset,B,B
