flow_row_id,id.orig_p,id.resp_p,duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,proto,service,conn_state,history,label
0,52938,5355,0.100118,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
1,68,67,0.000913,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
2,60180,1900,15.122074,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
3,1900,60180,16.3701,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
4,61702,5355,0.100372,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
5,68,67,0.000917,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
6,60180,1900,15.181534,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
7,1900,60180,16.510658,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
8,55080,5355,0.098786,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
9,68,67,0.001004,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
10,60180,1900,15.149479,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
11,1900,60180,16.409051,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
12,62581,5355,0.104014,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
13,68,67,0.00073,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
14,60180,1900,15.180577,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
15,1900,60180,16.511899,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
16,53889,5355,0.103304,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
17,68,67,0.000497,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
18,60180,1900,15.132962,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
19,1900,60180,14.906446,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
20,64383,5355,0.104429,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
21,68,67,0.000994,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
22,60180,1900,15.141077,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
23,1900,60180,16.466741,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
24,49644,5355,0.100161,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
25,68,67,0.000953,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
26,60180,1900,15.128691,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
27,1900,60180,17.518829,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
28,53083,5355,0.100524,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
29,68,67,0.000704,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
30,60180,1900,15.157153,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
31,1900,60180,16.415016,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
32,57392,5355,0.100006,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
33,68,67,0.000888,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
34,60180,1900,15.188084,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
35,1900,60180,16.509396,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
36,50796,5355,0.100072,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
37,68,67,0.00094,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
38,60180,1900,15.106207,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
39,1900,60180,16.305338,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
40,58239,5355,0.099534,506.0,0.0,0,22,1122,0,0,udp,dns,S0,D,0
41,68,67,0.001001,616.0,600.0,0,2,672,2,656,udp,dhcp,SF,Dd,0
42,60180,1900,15.153383,8778.0,0.0,0,66,10626,0,0,udp,missing,S0,D,0
43,1900,60180,16.422228,21312.0,0.0,0,72,23328,0,0,udp,missing,S0,D,0
