section,item,value
dataset,total_rows,141072
dataset,total_columns,25
dataset,duplicate_rows,0
dataset,timestamp_min_utc,2023-02-20T00:02:49.210645914+00:00
dataset,timestamp_max_utc,2023-02-27T00:00:08.827908039+00:00
column_dtype,ts,float64
column_dtype,uid,string
column_dtype,id.orig_h,string
column_dtype,id.orig_p,Int64
column_dtype,id.resp_h,string
column_dtype,id.resp_p,Int64
column_dtype,proto,string
column_dtype,service,string
column_dtype,duration,float64
column_dtype,orig_bytes,Int64
column_dtype,resp_bytes,Int64
column_dtype,conn_state,string
column_dtype,local_orig,boolean
column_dtype,local_resp,boolean
column_dtype,missed_bytes,Int64
column_dtype,history,string
column_dtype,orig_pkts,Int64
column_dtype,orig_ip_bytes,Int64
column_dtype,resp_pkts,Int64
column_dtype,resp_ip_bytes,Int64
column_dtype,tunnel_parents,string
column_dtype,label,string
column_dtype,detailedlabel,string
column_dtype,source_file,str
column_dtype,capture_date,str
missing_values,local_orig,141072
missing_values,local_resp,141072
missing_values,tunnel_parents,141072
missing_values,service,127587
missing_values,duration,10466
missing_values,resp_bytes,10466
missing_values,orig_bytes,10466
missing_values,history,4501
missing_values,ts,0
missing_values,id.resp_p,0
missing_values,proto,0
missing_values,id.orig_p,0
missing_values,id.resp_h,0
missing_values,id.orig_h,0
missing_values,uid,0
missing_values,missed_bytes,0
missing_values,conn_state,0
missing_values,orig_pkts,0
missing_values,orig_ip_bytes,0
missing_values,resp_pkts,0
missing_values,resp_ip_bytes,0
missing_values,label,0
missing_values,detailedlabel,0
missing_values,source_file,0
missing_values,capture_date,0
label_distribution,Malicious,78971
label_distribution,Benign,60794
label_distribution,Unknown,1307
detailed_label_distribution,From_malicious-To_malicious-Malware_data_exfiltration-RemcosRAT,78942
detailed_label_distribution,From_benign-To_benign,20642
detailed_label_distribution,From_benign-To_benign-Device_chromecast_tv_assistant,19339
detailed_label_distribution,From_benign-To_benign-Multicast,7695
detailed_label_distribution,From_benign-To_benign-1e100,6709
detailed_label_distribution,From_benign-To_benign-DHCP,2203
detailed_label_distribution,From_benign-To_benign-Facebook,1384
detailed_label_distribution,(empty),1307
detailed_label_distribution,From_benign-To_benign-Google,741
detailed_label_distribution,From_benign-To_benign-Application_discord,471
detailed_label_distribution,From_benign-To_benign-Fastly,342
detailed_label_distribution,From_benign-To_benign-Cloudflare,318
detailed_label_distribution,From_benign-To_benign-Application_twitter,180
detailed_label_distribution,From_benign-To_benign-Apple,156
detailed_label_distribution,From_benign-To_benign-Facebook_CDN,131
detailed_label_distribution,From_benign-To_benign-Application_instagram,95
detailed_label_distribution,From_benign-To_benign-Akamai,82
detailed_label_distribution,From_benign-To_benign-Amazon,60
detailed_label_distribution,From_benign-To_benign-NTP,52
detailed_label_distribution,From_benign-To_benign-Seznam.cz,44
detailed_label_distribution,From_benign-To_benign-Valve,36
detailed_label_distribution,From_benign-To_benign-Github,31
detailed_label_distribution,From_benign-To_benign-Cloudfront,28
detailed_label_distribution,From_malicious-To_malicious-Malware_C2-Ingress_tool_access-RemcosRAT-HTTP,23
detailed_label_distribution,From_benign-To_benign-iCloud,21
detailed_label_distribution,From_benign-To_benign-Pinterest,7
detailed_label_distribution,From_benign-To_benign-Vine.co,7
detailed_label_distribution,From_malicious-To_malicious-Human_attacks_data_exfiltration-PyExfil-DNS,6
detailed_label_distribution,From_benign-To_benign-Microsoft,5
detailed_label_distribution,From_benign-To_benign-Device_edimax_camera,4
detailed_label_distribution,From_benign-To_benign-AWSGlobalAccelerator,3
detailed_label_distribution,From_benign-To_benign-Digicert,2
detailed_label_distribution,From_benign-To_benign-Cdn77,2
detailed_label_distribution,From_benign-To_benign-Yahoo,2
detailed_label_distribution,From_benign-To_benign-Hotmail,1
detailed_label_distribution,From_benign-To_benign-Linkedin,1
