metric,value
train_accuracy,1.0
train_f1_score,1.0
test_accuracy,0.9995415437749285
test_precision,0.9988464311463591
test_recall,0.9968340768455893
test_f1_score,0.9978392394122731
test_false_positive_rate,0.0001367801942278758
test_roc_auc,0.9983486483256807
true_negatives,58480.0
false_positives,8.0
false_negatives,22.0
true_positives,6927.0
train_samples,15017.0
test_samples,65437.0
redlinestealer_test_attack_rows,6928.0
redlinestealer_detected_rows,6927.0
redlinestealer_detection_rate,0.9998556581986143
agenttesla_test_attack_rows,19.0
agenttesla_detected_rows,0.0
agenttesla_detection_rate,0.0
lockbit_test_attack_rows,2.0
lockbit_detected_rows,0.0
lockbit_detection_rate,0.0
