feature,importance
conn_state_REJ,0.996950098325457
history_S,0.0005849102198617415
orig_ip_bytes,0.0005214914775543934
id.resp_p,0.000462399888364806
history_ShADTdtaTr,0.00024732756838992897
history_ShADTdtaTTtr,0.00024723825896463543
history_ShADTdtfF,0.0001649744147785075
conn_state_SH,0.00016493468584061901
proto_udp,0.00012845262279120948
history_ShADTdtattgTFf,8.254187147725631e-05
history_ShADadtTTTGgtTr,8.253192847050384e-05
history_ShADTdtaTttTgGr,8.252198726006412e-05
history_ShADTdtar,8.251204784578919e-05
history_ShADTagdtttTFf,8.250211022715027e-05
resp_bytes,6.193251456004743e-05
history_R,3.299088383406698e-05
history_ShADTadtttTFf,2.063919432240409e-05
id.orig_p,0.0
duration,0.0
orig_bytes,0.0
missed_bytes,0.0
orig_pkts,0.0
resp_pkts,0.0
resp_ip_bytes,0.0
proto_icmp,0.0
proto_tcp,0.0
service_ayiya,0.0
service_dhcp,0.0
service_dns,0.0
"service_gssapi,smb,ntlm",0.0
service_http,0.0
service_ssl,0.0
conn_state_OTH,0.0
conn_state_RSTO,0.0
conn_state_RSTR,0.0
conn_state_S0,0.0
conn_state_S1,0.0
conn_state_S2,0.0
conn_state_S3,0.0
conn_state_SF,0.0
conn_state_SHR,0.0
history_ADTadFftR,0.0
history_ADaTdttTtTFfR,0.0
history_D,0.0
history_DTaTdtATtT,0.0
history_DTdtATtaTtTtR,0.0
history_DTdtAaFfR,0.0
history_Dd,0.0
history_F,0.0
history_SADTadtFR,0.0
history_SADTadtFRRRRfR,0.0
history_SADTadtFf,0.0
history_SADTadtFfR,0.0
history_SADTadttFf,0.0
history_SADTadttFfR,0.0
history_SADTadttWtTtFf,0.0
history_SADaTdtFf,0.0
history_SADadFf,0.0
history_SADadtTFfR,0.0
history_SADdTatttTfF,0.0
history_SAhDTadtFR,0.0
history_SAhDTadtFRf,0.0
history_SAhDTadtFf,0.0
history_SAhDTadtFfR,0.0
history_SAhDTadtFgf,0.0
history_SAhDTadtGTgtFfR,0.0
history_SAhDTadtGfF,0.0
history_SAhDTadtGgFf,0.0
history_SAhDTadtGgtTtfF,0.0
history_SAhDTadtTtfr,0.0
history_SAhDTadtfF,0.0
history_SAhDTadtfFr,0.0
history_SAhDTadtgF,0.0
history_SAhDTadtgFfR,0.0
history_SAhDTadtgGFfR,0.0
history_SAhDTadtgTtFfR,0.0
history_SAhDTadtgtFf,0.0
history_SAhDTadtgtWFfR,0.0
history_SAhDTadttFf,0.0
history_SAhDTadttFfR,0.0
history_SAhDTadttTFf,0.0
history_SAhDTadttTGgFf,0.0
history_SAhDTadttTfF,0.0
history_SAhDTadttTtWggFfR,0.0
history_SAhDTadttgFfR,0.0
history_SAhDTadttgGFf,0.0
history_SAhDTadttggFfR,0.0
history_SAhDTadttggWtTFf,0.0
history_SAhDTadttggtWgTtgFf,0.0
history_SAhDTdtFfR,0.0
history_SAhDTgadtTtfFR,0.0
history_SAhDaTdtFR,0.0
history_SAhDaTdtFf,0.0
history_SDTadtATtFfR,0.0
history_SDadTAFf,0.0
history_SDadtATtFf,0.0
history_SDdtATFfR,0.0
history_Sh,0.0
history_ShADTaFdtfR,0.0
history_ShADTadfF,0.0
history_ShADTadftF,0.0
history_ShADTadgFftR,0.0
history_ShADTadgGtFf,0.0
history_ShADTadgtFR,0.0
history_ShADTadgtGtTfF,0.0
history_ShADTadgtfF,0.0
history_ShADTadgtfGF,0.0
history_ShADTadgttTFf,0.0
history_ShADTadgttgtgTtFfR,0.0
history_ShADTadgtttFf,0.0
history_ShADTadt,0.0
history_ShADTadtF,0.0
history_ShADTadtFR,0.0
history_ShADTadtFRRfR,0.0
history_ShADTadtFRf,0.0
history_ShADTadtFRfRR,0.0
history_ShADTadtFRft,0.0
history_ShADTadtFRtf,0.0
history_ShADTadtFf,0.0
history_ShADTadtFfR,0.0
history_ShADTadtFfRg,0.0
history_ShADTadtFftR,0.0
history_ShADTadtFg,0.0
history_ShADTadtFgf,0.0
history_ShADTadtFr,0.0
history_ShADTadtFtfR,0.0
history_ShADTadtGFf,0.0
history_ShADTadtGFfR,0.0
history_ShADTadtGTFRf,0.0
history_ShADTadtGTFfR,0.0
history_ShADTadtGTFftR,0.0
history_ShADTadtGTfF,0.0
history_ShADTadtGTgtFfR,0.0
history_ShADTadtGTgttr,0.0
history_ShADTadtGTttgTtfF,0.0
history_ShADTadtGfR,0.0
history_ShADTadtGgFRf,0.0
history_ShADTadtGgFf,0.0
history_ShADTadtGgTttTtfF,0.0
history_ShADTadtGgtFf,0.0
history_ShADTadtGgtFfR,0.0
history_ShADTadtGgtTFfR,0.0
history_ShADTadtGgtTfFR,0.0
history_ShADTadtGgtTtTtr,0.0
history_ShADTadtGgtgFf,0.0
history_ShADTadtGgtgTtWFfR,0.0
history_ShADTadtGgttggTFfR,0.0
history_ShADTadtGtFf,0.0
history_ShADTadtGtFgf,0.0
history_ShADTadtGtTFf,0.0
history_ShADTadtGtTfFR,0.0
history_ShADTadtGtTgFf,0.0
history_ShADTadtGtTgfF,0.0
history_ShADTadtGtTgtTgFfR,0.0
history_ShADTadtGtTtTgGgtTGR,0.0
history_ShADTadtGtTtfF,0.0
history_ShADTadtGtTtgTfF,0.0
history_ShADTadtGtgFfR,0.0
history_ShADTadtGtgTFfR,0.0
history_ShADTadtGtgTfF,0.0
history_ShADTadtGtgTtfF,0.0
history_ShADTadtGtggWtFfR,0.0
history_ShADTadtR,0.0
history_ShADTadtTFR,0.0
history_ShADTadtTFRf,0.0
history_ShADTadtTFRfRR,0.0
history_ShADTadtTFf,0.0
history_ShADTadtTFfR,0.0
history_ShADTadtTFftR,0.0
history_ShADTadtTFgfR,0.0
history_ShADTadtTFr,0.0
history_ShADTadtTFtfR,0.0
history_ShADTadtTGFfR,0.0
history_ShADTadtTGgtFfR,0.0
history_ShADTadtTGtFfR,0.0
history_ShADTadtTGtFg,0.0
history_ShADTadtTTFf,0.0
history_ShADTadtTTTGGTr,0.0
history_ShADTadtTTgGtGTfr,0.0
history_ShADTadtTTtGTtgGTtgGTwwwtr,0.0
history_ShADTadtTTtTr,0.0
history_ShADTadtTTtTtGGTr,0.0
history_ShADTadtTf,0.0
history_ShADTadtTfF,0.0
history_ShADTadtTfr,0.0
history_ShADTadtTgtFf,0.0
history_ShADTadtTgtFfR,0.0
history_ShADTadtTgtGtTfF,0.0
history_ShADTadtTgtTFfR,0.0
history_ShADTadtTgtfG,0.0
history_ShADTadtTgttGTgfF,0.0
history_ShADTadtTgttfF,0.0
history_ShADTadtTtFRf,0.0
history_ShADTadtTtFf,0.0
history_ShADTadtTtFfR,0.0
history_ShADTadtTtGFfR,0.0
history_ShADTadtTtGFgf,0.0
history_ShADTadtTtGgTtFf,0.0
history_ShADTadtTtGgtTfF,0.0
history_ShADTadtTtGtTFf,0.0
history_ShADTadtTtGtTgF,0.0
history_ShADTadtTtGtTgGtfF,0.0
history_ShADTadtTtTFf,0.0
history_ShADTadtTtTFr,0.0
history_ShADTadtTtfF,0.0
history_ShADTadtTtfFRr,0.0
history_ShADTadtTtfr,0.0
history_ShADTadtTtg,0.0
history_ShADTadtTtgFf,0.0
history_ShADTadtTtgFfR,0.0
history_ShADTadtTtgGFfR,0.0
history_ShADTadtTtgGtTfF,0.0
history_ShADTadtTtgTGGgttR,0.0
history_ShADTadtTtgTGtGFfR,0.0
history_ShADTadtTtgWgFf,0.0
history_ShADTadtTtgWtggFfR,0.0
history_ShADTadtTtgfGR,0.0
history_ShADTadtTtgtFfR,0.0
history_ShADTadtTtgtGTfF,0.0
history_ShADTadtTtgtWgFf,0.0
history_ShADTadtTtgtgFfR,0.0
history_ShADTadtTtgtgWWtFf,0.0
history_ShADTadtTttFf,0.0
history_ShADTadtTttGFRf,0.0
history_ShADTadtTttGfF,0.0
history_ShADTadtTttGgT,0.0
history_ShADTadtTttT,0.0
history_ShADTadtTttTFr,0.0
history_ShADTadtTttTfF,0.0
history_ShADTadtTttTgGfF,0.0
history_ShADTadtTttTtfF,0.0
history_ShADTadtTttWfF,0.0
history_ShADTadtTttWggFfR,0.0
history_ShADTadtTttfF,0.0
history_ShADTadtTttgWgFfR,0.0
history_ShADTadtTttgfGF,0.0
history_ShADTadtTttggFfR,0.0
history_ShADTadtTttggWFf,0.0
history_ShADTadtfF,0.0
history_ShADTadtfFR,0.0
history_ShADTadtfFRr,0.0
history_ShADTadtfFr,0.0
history_ShADTadtfG,0.0
history_ShADTadtfGF,0.0
history_ShADTadtfGR,0.0
history_ShADTadtfGtgR,0.0
history_ShADTadtfr,0.0
history_ShADTadtftFR,0.0
history_ShADTadtftFr,0.0
history_ShADTadtg,0.0
history_ShADTadtgF,0.0
history_ShADTadtgFR,0.0
history_ShADTadtgFRf,0.0
history_ShADTadtgFf,0.0
history_ShADTadtgFfR,0.0
history_ShADTadtgGF,0.0
history_ShADTadtgGFRf,0.0
history_ShADTadtgGFf,0.0
