feature,type,missing_percentage,unique_non_null,dominant_value_ratio,overall_mean,overall_median,overall_std,overall_min,overall_q25,overall_q50,overall_q75,overall_max,benign_mean,benign_median,benign_std,benign_min,benign_q25,benign_q50,benign_q75,benign_max,malicious_mean,malicious_median,malicious_std,malicious_min,malicious_q25,malicious_q50,malicious_q75,malicious_max,mean_gap,standardized_mean_gap,relevance_evidence,recommendation
id.orig_p,numerical,0.0,24524,0.051322,47943.585612,54386.0,19162.592496,3.0,50038.0,54386.0,58760.0,65534.0,36793.880202,49506.5,24502.889836,3.0,1900.0,49506.5,56109.75,65534.0,56526.928746,56277.0,4280.098902,49155.0,52938.0,56277.0,59604.0,65534.0,19733.048544,1.121929,effect_size=1.122; dominant_value_ratio=0.051,KEEP
id.resp_p,numerical,0.0,4235,0.56482,14384.877573,5888.0,20908.036001,0.0,5888.0,5888.0,5888.0,65534.0,25425.037997,1900.0,28093.944844,0.0,389.0,1900.0,55865.0,65534.0,5885.865115,5888.0,111.386629,53.0,5888.0,5888.0,5888.0,5888.0,19539.172882,0.983569,effect_size=0.984; dominant_value_ratio=0.565,KEEP
duration,numerical,7.4811,46848,0.074811,26.590548,0.028375,799.883854,1e-06,0.017054,0.028375,0.042063,86344.91784,60.867676,1.004113,1178.791971,1e-06,0.000275,1.004113,6.825067,86344.91784,4.593983,0.028,396.814421,1e-06,0.017156,0.028,0.031445,61764.010546,56.273693,0.063984,"effect_size=0.064; dominant_value_ratio=0.075; low standalone separation, but retain for multivariate modelling",KEEP
orig_bytes,numerical,7.4811,6134,0.568726,16405.087496,0.0,2498062.016465,0.0,0.0,0.0,1040.0,853654509.0,15263.673044,2560.0,124208.329679,0.0,1040.0,2560.0,7956.0,6866883.0,17137.564179,0.0,3199225.223646,0.0,0.0,0.0,0.0,853654509.0,1873.891135,0.000828,"effect_size=0.001; dominant_value_ratio=0.569; low standalone separation, but retain for multivariate modelling",KEEP
resp_bytes,numerical,7.4811,6099,0.805438,29200.827336,0.0,555245.277318,0.0,0.0,0.0,0.0,56022560.0,74448.458463,0.0,885795.765607,0.0,0.0,0.0,600.0,56022560.0,164.192385,0.0,21636.071644,0.0,0.0,0.0,0.0,4422832.0,74284.266078,0.118563,effect_size=0.119; dominant_value_ratio=0.805,KEEP
missed_bytes,numerical,0.0,585,0.993754,312.402182,0.0,24327.455679,0.0,0.0,0.0,0.0,4405002.0,623.958137,0.0,33371.009024,0.0,0.0,0.0,0.0,4405002.0,72.558028,0.0,13784.297117,0.0,0.0,0.0,0.0,3491643.0,551.40011,0.021598,"effect_size=0.022; dominant_value_ratio=0.994; low standalone separation, but retain for multivariate modelling",KEEP
orig_pkts,numerical,0.0,1499,0.686331,51.050184,2.0,3592.177058,0.0,2.0,2.0,2.0,1250867.0,76.23328,9.0,666.646274,0.0,2.0,9.0,38.0,65931.0,31.66356,2.0,4742.838576,1.0,2.0,2.0,2.0,1250867.0,44.56972,0.01316,"effect_size=0.013; dominant_value_ratio=0.686; low standalone separation, but retain for multivariate modelling",KEEP
orig_ip_bytes,numerical,0.0,6552,0.373656,26433.696884,104.0,4903588.981456,0.0,104.0,104.0,1096.0,1743221535.0,15675.158848,1122.0,129500.093042,0.0,1096.0,1122.0,8932.0,7296375.0,34715.908853,104.0,6522498.106811,48.0,96.0,104.0,104.0,1743221535.0,19040.750005,0.004128,"effect_size=0.004; dominant_value_ratio=0.374; low standalone separation, but retain for multivariate modelling",KEEP
resp_pkts,numerical,0.0,1607,0.572668,47.683383,2.0,2241.798854,0.0,0.0,2.0,2.0,752506.0,81.317844,0.0,782.761016,0.0,0.0,0.0,1.0,48558.0,21.79067,2.0,2901.960901,0.0,2.0,2.0,2.0,752506.0,59.527174,0.028008,"effect_size=0.028; dominant_value_ratio=0.573; low standalone separation, but retain for multivariate modelling",KEEP
resp_ip_bytes,numerical,0.0,6505,0.560112,29340.109949,80.0,556518.200157,0.0,0.0,80.0,80.0,57382184.0,66083.893164,0.0,829155.586949,0.0,0.0,0.0,132.0,57382184.0,1053.757278,80.0,130567.404416,0.0,80.0,80.0,80.0,33125702.0,65030.135886,0.109566,effect_size=0.110; dominant_value_ratio=0.560,KEEP
