metric,value
total_chronological_train_records,15017.0
benign_train_records_total,12262.0
benign_fit_records_used_for_if_training,9809.0
benign_calibration_records,2453.0
malicious_train_records_excluded,2755.0
calibrated_threshold,-0.024434515696523967
calibration_quantile,0.99
calibration_anomaly_rate,0.010191602119853241
test_benign_count,58488.0
test_malicious_count,6949.0
test_accuracy,0.8546693766523527
test_precision,0.0003901677721420211
test_recall,0.0001439055979277594
test_f1_score,0.00021026072329688813
test_false_positive_rate,0.043803857201477225
test_roc_auc,0.7842661143711145
true_negatives,55926.0
false_positives,2562.0
false_negatives,6948.0
true_positives,1.0
predicted_anomalies,2563.0
predicted_anomaly_rate,0.03916744349527026
benign_test_flagged_as_anomaly,2562.0
malicious_test_detected,1.0
redlinestealer_test_attack_rows,6928.0
redlinestealer_detected_rows,0.0
redlinestealer_detection_rate,0.0
agenttesla_test_attack_rows,19.0
agenttesla_detected_rows,0.0
agenttesla_detection_rate,0.0
lockbit_test_attack_rows,2.0
lockbit_detected_rows,1.0
lockbit_detection_rate,0.5
