metric,value
total_chronological_train_records,61340.0
benign_train_records_used_for_fit,16605.0
malicious_train_records_excluded,44735.0
test_benign_count,44189.0
test_malicious_count,34236.0
test_accuracy,0.5584061204972904
test_precision,0.035211267605633804
test_recall,0.0004381352961794602
test_f1_score,0.0008655011251514627
test_false_positive_rate,0.009300957251804748
test_roc_auc,0.5740484562784858
true_negatives,43778.0
false_positives,411.0
false_negatives,34221.0
true_positives,15.0
predicted_anomalies,426.0
predicted_anomaly_rate,0.0054319413452343
benign_test_flagged_as_anomaly,411.0
malicious_test_detected,15.0
